date,open,low,high,close,volume
2023-04-24 13:30:00,164.78,164.73,165.2199,165.1324,1936513
2023-04-24 13:00:00,164.515,164.38,164.88,164.78,1961377
2023-04-24 12:30:00,164.33,164.289,164.62,164.5117,1591665
2023-04-24 12:00:00,164.14,164.04,164.35,164.34,1506817
2023-04-24 11:30:00,164.18,164.0,164.3341,164.125,2246754
2023-04-24 11:00:00,164.035,163.89,164.41,164.18,2049292
2023-04-24 10:30:00,165.29,164.03,165.37,164.04,3747922
2023-04-24 10:00:00,165.16,164.815,165.4279,165.2988,2961707
2023-04-24 09:30:00,165.0,164.41,165.47,165.16,5078605
2023-04-21 16:00:00,165.02,164.97,165.07,165.0,1247113
2023-04-21 15:30:00,164.955,164.69,165.06,165.02,5241987
2023-04-21 15:00:00,165.0328,164.715,165.065,164.9575,3566982
2023-04-21 14:30:00,165.2785,164.88,165.36,165.035,2318648
2023-04-21 14:00:00,165.075,165.02,165.365,165.275,2592090
2023-04-21 13:30:00,164.7999,164.71,165.1,165.075,2302510
2023-04-21 13:00:00,164.895,164.68,165.21,164.7975,2128391
2023-04-21 12:30:00,164.925,164.745,165.06,164.9,1748024
2023-04-21 12:00:00,165.22,164.8483,165.24,164.9291,2020525
2023-04-21 11:30:00,165.1,164.81,165.42,165.22,2471418
2023-04-21 11:00:00,165.02,164.71,165.325,165.09,3142632
2023-04-21 10:30:00,165.37,164.49,165.46,165.01,4335110
2023-04-21 10:00:00,164.895,164.72,165.68,165.3798,4865964
2023-04-21 09:30:00,165.05,164.67,166.4521,164.9,11365442
2023-04-20 16:00:00,166.65,166.55,166.78,166.73,2258341
2023-04-20 15:30:00,165.625,165.625,166.67,166.65,6044324
2023-04-20 15:00:00,166.56,165.56,166.64,165.62,4352991
2023-04-20 14:30:00,166.86,166.2301,166.89,166.56,3230829
2023-04-20 14:00:00,167.47,166.83,167.5,166.87,2515522
2023-04-20 13:30:00,167.61,167.44,167.75,167.47,1675434
2023-04-20 13:00:00,167.695,167.56,167.86,167.6009,1956164
2023-04-20 12:30:00,167.41,167.38,167.87,167.7,2299113
2023-04-20 12:00:00,167.28,166.96,167.49,167.41,2006562
2023-04-20 11:30:00,167.1424,166.9,167.54,167.28,2659106
2023-04-20 11:00:00,166.87,166.51,167.17,167.14,2664334
2023-04-20 10:30:00,167.04,166.66,167.27,166.86,2895982
2023-04-20 10:00:00,166.81,166.68,167.4,167.04,4043335
2023-04-20 09:30:00,166.09,165.89,167.33,166.815,7055185
2023-04-19 16:00:00,167.6,167.19,167.65,167.42,1638531
2023-04-19 15:30:00,167.76,167.17,167.86,167.62,5147055
2023-04-19 15:00:00,167.925,167.67,167.94,167.77,2058979
2023-04-19 14:30:00,167.9,167.71,168.08,167.925,2175374
2023-04-19 14:00:00,167.81,167.59,168.05,167.9,2131811
2023-04-19 13:30:00,167.93,167.675,168.01,167.81,1602416
2023-04-19 13:00:00,167.845,167.63,168.09,167.92,2112016
2023-04-19 12:30:00,167.82,167.8101,168.16,167.8401,2991758
2023-04-19 12:00:00,167.61,167.41,167.89,167.815,2802308
2023-04-19 11:30:00,167.14,167.0028,167.79,167.59,3410651
2023-04-19 11:00:00,166.9301,166.9099,167.38,167.14,3338693
2023-04-19 10:30:00,166.6395,166.58,167.205,166.93,3817283
2023-04-19 10:00:00,166.15,166.11,166.65,166.64,3483441
2023-04-19 09:30:00,165.8,165.54,166.54,166.16,5887263
2023-04-18 16:00:00,166.47,166.02,166.53,166.37,1839331
2023-04-18 15:30:00,166.37,166.05,166.6901,166.46,4662301
2023-04-18 15:00:00,166.31,166.3092,166.66,166.38,2166205
2023-04-18 14:30:00,166.64,166.0,166.74,166.3025,2260767
2023-04-18 14:00:00,166.2877,166.05,166.74,166.64,2337549
2023-04-18 13:30:00,165.92,165.86,166.48,166.29,1966160
2023-04-18 13:00:00,165.765,165.7,166.0372,165.925,1477416
2023-04-18 12:30:00,166.2,165.68,166.32,165.7683,2256034
2023-04-18 12:00:00,165.71,165.68,166.2,166.195,1947263
2023-04-18 11:30:00,166.08,165.65,166.225,165.71,2403600
2023-04-18 11:00:00,165.94,165.87,166.26,166.07,2441466
2023-04-18 10:30:00,166.225,165.79,166.27,165.93,3019633
2023-04-18 10:00:00,166.94,165.98,166.95,166.23,4955577
2023-04-18 09:30:00,166.1,165.84,167.41,166.95,8616353
2023-04-17 16:00:00,165.23,165.1,165.28,165.18,1985271
2023-04-17 15:30:00,165.18,165.1,165.34,165.27,4681137
2023-04-17 15:00:00,164.66,164.66,165.2,165.1848,2509936
2023-04-17 14:30:00,164.39,164.2401,164.71,164.66,1911453
2023-04-17 14:00:00,164.385,164.245,164.475,164.4,1306519
2023-04-17 13:30:00,164.6212,164.365,164.76,164.38,1180337
2023-04-17 13:00:00,164.52,164.362,164.75,164.6298,1554710
2023-04-17 12:30:00,164.25,164.145,164.54,164.515,1386732
2023-04-17 12:00:00,164.4653,164.05,164.55,164.2401,1807749
2023-04-17 11:30:00,164.57,164.27,164.61,164.47,2194696
2023-04-17 11:00:00,164.57,164.37,164.95,164.59,2175455
2023-04-17 10:30:00,164.515,164.0745,164.63,164.5659,2749173
2023-04-17 10:00:00,164.69,164.29,165.06,164.51,3420462
2023-04-17 09:30:00,165.09,164.03,165.39,164.675,7415912
